"","QE1-S1","QE1-S2","QE1-S3","QE1-S4","QE1-S5","QE5-M1","QE5-M2","QE5-M3","QE5-M4","QE5-M5","QE5-H1","QE5-H2","QE5-H3","QE5-H4","QE5-H5"
"107307479",123,75,87,85,99,106,149,83,120,96,141,73,125,204,121
"107307480",368,252,335,311,393,419,480,384,382,232,446,331,367,401,351
"107307485",754,593,447,534,701,594,975,692,722,432,780,625,719,974,1009
"107307486",662,569,290,246,331,283,1485,260,741,363,861,583,899,1005,572
"107307482",840,637,567,706,715,709,1180,805,685,501,951,723,859,1004,1124
"107307484",382.68,322.821,325.793,199.306,385.327,418.633,524.252,396.107,474.712,271.464,615.309,361.347,387.153,456.199,530.058
"107325749",17.0000033333333,7.66667,4.66667,11.3333333333333,15.6666533333333,15.3333266666667,7.00001,7.33333333333333,10.3333166666667,5.33331666666667,35.9999933333333,9.66667,16.6666633333333,11.3333266666667,8.00000666666667
"107325751",2408.48,1769.46,1595.47,1718.9,2133,1871.45,3037.41,2303.92,2311.89,1237.45,2611.29,2068.4,2316.08,3122.96,3053.51
"107325750",1508,1029,1081,1541,1068,928,1463,1441,1345,937,959,1085,1752,1162,1648
"107325756",9,10,22,9,17,14,19,24,17,13,76,19,60,13,73
"107325763",1558,1173,795,1192,1493,1441,1770,1733,1555,890,1520,1893,1069.99,1472,2143
"107325755",2365,1162,1676.69,1256.74,1440.46,1649,2089,2095.72,1560.71,990,1349.71,1676,1000,2251,1136.67
"107325747",4610,3113,2546,3150,4214,4069,5426,4957,4732,2419,5332,5710,4087,4880,7093
"107325762",112,90,87,96,113,133,135,111,154,100,152,115,130,166,141
"107325764",9768,7206,7097,8191,7676,8365,12168,10108,9911,5915,9779,8032,12273,12648,12982
"107315239",11.74999,6.0000075,46.4999,4,7.75001,8.2500125,6.25,9.74999,39.4998725,1,9,27.25,13.000005,15.7499925,9.5
"107321076",28.2727545454545,21.7272681818182,22.4545475727273,20.0908627272727,28.9090531821818,25.54547009,35.9091018181818,28.2727503440909,26.3636581818182,24.8181818181818,35.9091272727273,22.9091372727273,34.3636681818182,28.6363199,41.8182233636364
"107321238",13.4523875,13.311193,8.8560285,10.019996,11.761405,12.6441835,14.5495325,10.684422,14.2494685,10.3775775,17.305,14.6444225,16.4308635,14.439829,10.893949
"107318610",77.00004,64.2,54.6,57.39992,60.1999500216,72.80004,81.800034842,61.19996,70.60008,38.60004,84.19998,59.59996,74.99994,77.80008,92.999888
"107318549",304.000143366667,228.333433351333,191.666566666667,216.333266666667,223.6666,262.333333333333,293.333466666667,321.666672366667,244.333236666667,152.333366666667,329.999852766667,223.999966666667,430.667233333333,334.333333333333,265.666767203333
"107306149",19.700011,14.2,6.499994,15.1,15.3,9.099998,16.10000061,14.89995,17.800007,5.7,16.59999547,8.100003,14.30000959,7.599998,20.99999
"107306142",179.325202,121.934784,101.872782,125.657,149.503366,133.984302,219.10892,181.232914,158.57728,71.640144,171.22341,86.45604,225.953582,184.28887,176.892422
"107318409",130.25,80.249925685,89.250125,89.000007025,99.249925,120.000025,118.750225,103.749938876,102.500025183,66.49990017,130,95.249870275,103.7498,141.2499,130.500000006775
"107318431",56476.2,29635.9,42630.1,31244.6,34550.2,34380.6,37777.1,36752.7,36956.9,28406.9,21907,30071.5,29199,40711.4,39928.6
"107317409",197.5,81.9999,86.5001,88.99995,106.50015,133,153.5002,117.50005,141.000035,95.9999,166,174,181,157.5,159
"107317399",77.199979,48.700057072,53.199985709,62.00000302119,61.600006,82.5001,76.40000073,60.6999497817,65.100058,38.699956,96.300000808,58.40004205,63.099975333,79.399983,82.59994703
"107315650",207074,125315,121427,132881,138849,135123,219806,147849,156139,90850,94049,146855,185922,176739,229315
"107307103",355,225,219.339,207,318,308,400,295.351,253,191,423,264,353.373,293,495
"107307104",240,112,158,282,167,233,284,349,540,122,267,218,246,426,251
"107307105",1098,761,647,628,981,916,1080,913,962,509,1094,879,709,968,1258
"107307126",143,101,79,84,131,122,191,127,139,73,166,158,140,199,191
"107307119",4312,2963,2832,2963,3257,3561,5279,3749,4110,2256,5063,3670,4824,4989,5849
"107317573",95.99985,75.499915,60.99995,82.99995,48,52.00002,78.5,51.5,66.0002,36.999985,140.5002,80.00005,76,92.49985,90.00005
"107317536",337.3335,255.333333333333,239.6668,280.333173333333,305.999933333333,311.999903333333,432.665566666667,312.666533333333,361.001666666667,203.000126666667,430.334933333333,302.666533333333,353.334,441.334966666667,441.667306666667
